idx,att1
0,'- abominable abbey abscond aboveboard abode abridgment abroad abominable aback abbey'
1,abhorred Abram Abramson absolve aborigine abroad abolition Aarhus abbe abscond'
2,'- abolition AAAS abominate abandon abetting abnegation abalone absinthe aboveground abrupt'
3,Abigail a abrasion abbas abreast abdicate abscissa abbe abeyant abode'
4,'- abreast abash Abernathy Aaron abate abbot aboveboard Ababa absolute Abo'
5,aboard abscissae Abner abrupt abhorrent ablution aborigine aberrant aboveboard absolve'
6,'- abhor abridge aardvark aardvark abbot able abbreviate Abigail abscissa aardvark'
7,abbreviate aboveground AAA aboard abhor absinthe absolute Abraham absolute abash'
8,'- abreast ablate aberrant abdomen abdomen abjure AAAS aboveboard abbey absolution'
9,ABA abnegation Abram abovementioned abide aborning above abbot abridgment abscond'
10,'- abbey absenteeism abrogate aboriginal abreast able aboveboard Abidjan AAA aberrate'
11,aberrate about absentia Abel absorb absinthe about abnormal abominable abreact'
12,'- aborning aboard abscond Abel abet abet abolition absent abolish Abo'
13,Abel aboriginal abduct abrasive aberrant abdicate absentia aback abscond abnormal'
14,'- abash abeyance abetted abash aberrant about abreast above abdicate abjure'
15,abduct a abominable aboveboard absolve abetted Aaron abash abrade abrade'
16,'- Abram absentee aborning Aarhus Abramson Abram abscissa absolute abbas a'
17,about aborigine abet absolution abdicate abode aberrate abacus abjure Abernathy'
18,'- absent abnegation abhor absorb aboriginal abnormal abed abscissa absentee absolute'
19,aberrate abound Aberdeen aboveground abscissa Abidjan abetted Aberdeen abdomen abed'
20,'- Abo abrasion Aaron abhorred absolute abscissae abreact Abidjan Aaron AAAS'
21,aback abscond Abel abjure about aardvark abate abreact abetted abjure'
22,'- abet abjure abominable about abscissa abbe abide abovementioned aberrant ablate'
23,about aboard AAA abacus abetted Aaron aboriginal Aarhus abase abet'
24,'- Abernathy abrasive Abelson abbey abnormal abase absolution abetted abreast aback'
25,Abner abode abed ablate abbot aback abrasive abscissae abrupt aborning'
26,'- aberrant absentminded Abraham abnormal Abramson abhor abdomen ablaze abrasion abase'
27,aboriginal abc Abramson aback abominable ablution Abbott abode abc Abe'
28,'- aboveboard abacus abacus abeyant absinthe Aaron AAA absentee aberrant absentia'
29,abbas abate absentminded AAAS abort absolution abscissae abbreviate ablution a'
30,'- abetting abet abode abjure abridge abdomen abandon abate Abelson abeyance'
31,abed abrade abridge abscissae abridge absorbent able aboveground above abominable'
32,'- Abram ABA abominable Ababa abreact abort Abramson aberrant abbey Ababa'
33,abate absentminded absentia abhor abandon abc abrasion ablution Aberdeen aboard'
34,'- a abhor abeyance Abelson Abo able Ababa abolition abnegation absorbent'
35,abbot absolution absorbent abrupt ablate aboard absenteeism AAAS absent abscissa'
36,'- aberrate Aaron abhorred abhor abroad Abraham Abram abrasion abbot abreact'
37,absenteeism absentee aborning Aaron Abelson abandon abetted abolish abate aboriginal'
38,'- Abram Abernathy abc aberrate abdomen ablaze absent aberrate abridgment abc'
39,Abramson abrogate ABA Abidjan aborning absentminded abbey abreact abase abdicate'
40,'- abnegation aberrate abet aborning abide ABA Abe absentminded Abigail abode'
41,aberrant abominate Aaron abdomen aboveboard abridge Aarhus abhorrent Abel Aarhus'
42,'- abhorrent aboriginal abrupt abominable abort absentia aboveboard aberrate abed absolve'
43,abovementioned able absolution abhorrent abominate aboveground abridgment Abernathy abort abscond'
44,'- abbe abbey abate abscess abase above ablaze absinthe Aaron abacus'
45,abetting AAAS abet abound abrade abandon aback AAAS aback Abo'
46,'- aboveground Abelson abrupt Abe aboard Abigail absolve Abelian abbot Abigail'
47,abdominal absinthe abrasive abominable aborning abdicate aborning abort abreact Abigail'
48,'- abhor abridge abbey abacus AAAS Abel aborning abridge abroad aberrate'
49,Abner absent abbreviate abbas abscess abed absolute abdominal aback AAA'
50,'- abscond abrupt ablaze Abigail abolish Abraham abrade abhorred absent aborigine'
51,abhorred abrupt abhorrent abridgment abbey absolute abrasion abc absolute abridge'
52,'- abc abate aboard aborigine abduct abominate a absolute aberrate Abram'
53,aberrant about absorbent aback abide abduct abase abdomen abrasion Abidjan'
54,'- abetted abscond abhor abrupt aboveboard abode abdicate Abelian absentminded abdicate'
55,Abramson abacus abeyance Abigail aboriginal abrasion aback abhorred absolve Abramson'
56,'- Aarhus Abbott Abbott abbe Abel absentee abbot aborigine abnegation abovementioned'
57,abed abbas abreast abscissae ablution absolute about abetted absentia abase'
58,'- aborigine AAA abetting abhorrent Abernathy abode able abort abroad abrasive'
59,abbreviate abhorrent abominable abrade abreast ABA abnegation abacus abound Abe'
60,'- abate Abner abrogate abject abominable abrupt abbreviate abed aardvark abound'
61,absentminded abrasive abroad aback abbas above abominate about aberrant about'
62,'- abacus able absorbent abduct Abel aberrant Abe abalone abdominal abrogate'
63,about abeyance absentia Abelson aboriginal aberrate abdicate abacus abbreviate abeyant'
64,'- abbey abscissa Aberdeen abc abrade abridgment abdominal abominable absinthe absolution'
65,abscissae aboard abnormal abscess AAA Abel abetted abominate aboriginal absinthe'
66,'- abbe abridge Abe abase aboveboard abreast abide Abram aback aboard'
67,Abbott Aaron AAA abject Abe abreact above Abner Abidjan Abernathy'
68,'- abroad abrasive aboveground abalone abhor absenteeism absorb aardvark about abjure'
69,absolute abate abhor abet Abe aardvark ablaze Abigail abolish Abram'
70,'- abbreviate abeyant above aboriginal abbot Aberdeen abet absentee Abernathy abhorrent'
71,abase Abner abscissa aberrate absorbent abovementioned Abigail ablaze aberrant abscissae'
72,'- a abhor a abhorrent absorb Abelson absent ablution abrade abeyance'
73,absinthe abominable abate Abner abscond aboveground abeyance absorb abbot abc'
74,'- abase abroad Aberdeen aboveground Abelian abeyant Aberdeen abovementioned abrogate abroad'
75,absenteeism absolution abhorrent abolish abort Abigail Abelian absolve abominate absinthe'
76,'- abrupt abhorrent abet aboriginal absentia abjure abalone abode aborigine abbey'
77,abridgment Aberdeen Abo Abigail absentee abbreviate aborning aborigine abbot aback'
78,'- AAA abalone abbey abscissae absent abduct ablaze abolition aberrate absinthe'
79,aboriginal abeyance abbe abate Abo absenteeism abode abrade Aarhus absorbent'
80,'- abbot abalone aboveboard abdominal abbreviate Abigail aboard abound Ababa abed'
81,abdicate abed abridgment ablaze abode abbas abbreviate aboard Abernathy abhorred'
82,'- absolve aboveboard abide abridgment abhorrent abscess abolition abhorrent abjure abc'
83,abbreviate aboard abovementioned abandon Aaron abc abc abnegation abrasion aberrate'
84,'- absinthe absentia abandon abroad aborigine abridge a abdicate Abel a'
85,abort abolish abc above abode a absent absenteeism aboriginal abolish'
86,'- Abelson abate abovementioned abroad abominate abode abhorred abovementioned ablution abbey'
87,abed Abraham absolute abrupt absolution Abernathy abhorred abridge Abelian abjure'
88,'- absorbent a AAA abject absolve Abo abrasive abort ablution abdomen'
89,abrasion abhor abscissae absolve abridge ablate abolition abetting Abramson abridgment'
